t	AI1_ext
0	0
0.0981468446552753	1
0.298739392310381	2
2.0403457917273	2
2.05496298614889	3
2.1108120046556	4
2.339783385396	5
2.69062827527523	4
2.73488094843924	5
2.76966103725135	4
2.92217576317489	5
3.5556518305093	6
3.64047539979219	7
3.75832141563296	8
3.82953746989369	9
4.20534372702241	8
4.54744715197012	9
4.58675121283159	10
4.65116389608011	9
5.26725389948115	10
5.53905727853999	11
5.55312135862187	12
5.56166454358026	11
5.58968270150945	12
5.62191524682567	13
5.66874221293256	14
5.86724988324568	15
6.01533603435382	14
6.02895167050883	15
6.04919054685161	16
6.09249106375501	17
6.73763325391337	18
6.96179911307991	17
6.97950598224998	18
7.02814502827823	19
7.06828944571316	20
7.56780762039125	21
7.72889373265207	22
7.73578399186954	23
7.77016044640914	22
8.03767599025741	23
8.12134498218074	24
8.51973468111828	25
8.55528723122552	26
8.57373860897496	25
8.96431123139337	26
9.13077975297347	27
9.14179758308455	28
9.15704256156459	29
9.17759639071301	30
9.19969869637862	31
9.22439414495602	30
9.2610344835557	31
9.35190848493949	32
9.69678927422501	33
9.70212069549598	34
9.71020298101939	35
9.72169858985581	34
9.90372345061041	35
10.0013733163942	36
10.010327064665	35
10.0246192228515	36
10.0420044262428	37
10.0888985779602	38
10.1223654833157	39
10.2612683486659	40
10.3942617129069	39
10.4024375488516	40
10.5174903587904	41
10.755138391396	42
11.1113440825138	41
11.125476785237	42
11.1431758871768	43
11.1672300326172	44
11.3621450907085	45
11.4299214652274	46
11.7593486662372	47
11.7810906688101	48
11.8019700771547	49
11.8451510737068	48
11.9878476778395	49
12.1371474894113	50
12.1385252240871	51
12.1434173134912	50
12.1531883681018	51
12.1639248894353	52
12.1846801599313	53
12.3278314469208	54
12.4030754047271	55
12.4085972851899	54
12.4470265324053	55
12.9195749650535	56
12.9216394091782	57
12.9388502366201	56
13.001476252015	57
13.1520110345737	58
13.45295235308	57
13.4598387240258	58
13.4684000278648	59
13.7004504578945	60
13.8903441431758	61
13.8951245607168	60
13.9025862017006	61
13.9113866859407	62
13.9225542578206	63
14.3249880828953	62
14.4008838421723	63
14.4461315385124	64
14.5020957700035	65
14.6831550746283	66
14.7511712803098	65
14.7583021732571	66
14.8087044331769	67
15.1141516018251	68
15.2194354582171	69
15.5054557185213	70
15.5168334237824	69
15.5344387489895	70
15.6062002677063	71
15.6511735554377	72
16.0117910664121	73
16.202915037662	72
16.2252910115349	73
16.3283627551573	74
16.7922246655799	73
16.8158946460462	74
16.9399503259338	75
17.0003654150642	76
17.2272664115808	75
17.2551676932999	76
17.3260249518135	77
17.4132055737355	78
17.517300444124	79
17.7060398518734	78
17.7149643733792	79
17.7233372445844	80
17.7601270865343	81
17.7810462418638	82
17.8090501635961	83
17.8484431527249	84
18.0065775959447	83
18.0405451877668	84
18.1134599967554	85
18.2000544926777	86
18.3130904621139	87
18.407328706111	88
18.7845472921545	87
18.804162199136	88
18.8151947888473	89
18.8500751000756	90
18.9066294659788	91
18.944140710395	92
19.0750638302343	91
19.0878311709894	92
19.2319920041991	93
19.3161426687075	94
19.4423194515912	95
19.4472682455016	96
19.4544672809934	95
19.5570827454721	96
19.5969547026252	97
19.7105204753971	98
19.8521878563261	99
19.8528669007865	98
19.8641376129162	99
19.87708444491	100
19.8908659449589	101
20.0393396119398	102
20.0802752139789	103
20.173993651224	102
20.1800374038794	103
20.2491099442632	104
20.5104214939565	105
20.6181176844329	106
20.6183057428061	105
20.6210475464541	106
20.6263777057829	107
20.6510663217123	108
20.7757148219462	109
20.856740377676	110
20.9622617585774	111
21.0894648058529	112
21.0954165145013	111
21.1098666836697	112
21.1328819313276	113
21.224488876127	114
21.3239043870199	115
21.3835919306803	116
21.8781266690421	117
21.8793954852226	116
21.8807169971478	117
21.8822694927876	118
21.8852179652968	119
21.9664747199931	120
21.9975148427257	121
22.0967790859941	120
22.0990060544063	121
22.1352822132831	122
22.1780642256563	123
22.4213201463645	124
22.6291665007375	125
22.6316773997169	124
22.6437823279775	125
22.6567448061905	126
22.7096960964627	127
22.8726297552712	128
23.0056751270095	129
23.0068880563849	128
23.0093477745322	129
23.0142566854847	130
23.020340989322	131
23.0675563886543	132
23.1100869066795	133
23.1572382971426	134
23.3623969331165	135
23.3647482429878	134
23.3679666742464	135
23.3765727598002	136
23.4894570614924	137
23.5801323707929	138
23.6641901861658	139
23.6642180893632	138
23.6786512758645	139
23.7693207131761	140
23.8417149603429	139
23.8624560244443	140
23.8742222495439	141
23.8862077545436	142
23.9001555459636	143
23.9828877987402	144
24.0945269977037	143
24.1021284147228	144
24.2033850218231	145
24.264707986551	146
24.4818818236763	147
24.631538238662	148
24.6321205419317	147
24.6946468736805	148
24.7442193172701	149
24.785594600422	150
24.8504977181383	151
24.9238646954127	152
24.9240734880241	151
24.9243016739001	152
24.9520759668758	153
24.9653370187243	154
25.2473993613912	153
25.2544645336984	154
25.275679671724	155
25.3490420184626	156
25.4538906901671	157
25.5105784922434	158
25.5796330947724	159
25.5809365975965	160
25.5847154640887	159
25.5954198045019	160
25.6374467517544	161
25.71113616408	162
25.7485187146176	163
25.7914767171551	164
25.8508909243919	163
25.8582216176965	164
25.8694000897758	165
25.8838067475535	166
26.0455830722876	167
26.1463245741852	168
26.1474019657417	167
26.1499729904408	168
26.1623567783336	169
26.1795975391815	170
26.1971342110137	171
26.2255114943782	172
26.2666053132216	173
26.3224285611013	174
26.3807795376579	175
26.4968938187758	176
26.5035667120865	177
26.5106815550862	178
26.5191348636908	177
26.5303072449205	178
26.5900132175921	179
26.7793591995178	180
26.7802604552162	181
26.7821507622757	182
26.7864375022509	181
26.7990503312358	182
26.8157224954375	183
27.1300589890488	184
27.131875967727	185
27.1337230368554	184
27.141583266206	185
27.150131594859	186
27.160233807288	187
27.1816072524562	188
27.3001656481101	189
27.3765970491841	190
27.5058131539299	191
27.6362363570406	192
27.637350644105	191
27.6437493671001	192
27.6509611356341	193
27.6602062090569	194
27.6783982190573	195
28.0346049165855	194
28.0438471243287	195
28.0573167859147	196
28.0735726358871	197
28.0966569671909	198
28.1313143076877	199
28.3552147413175	200
28.4756200353186	201
28.4838284205216	202
28.4873084719329	201
28.49313459732	202
28.5024565011299	203
28.5207090843505	204
28.5696911662853	205
28.6032637693024	206
28.6544331865189	205
28.6562046933723	206
28.677356109376	207
28.6935741234374	208
28.7114523429227	209
28.7979717369926	210
28.8914353636828	209
28.9000326370624	210
28.9074222225499	211
28.9215028540966	212
28.9401926262108	213
28.9655155012188	214
29.0074273416576	215
29.0565662676272	216
29.1459154480872	217
29.248593678741	216
29.250999641415	217
29.2632801579742	218
29.2727491092368	219
29.3001497807412	220
29.3284498723655	221
29.357660486406	222
29.394065453714	223
29.4457646934746	224
29.4458925612993	223
29.4533238556027	224
29.4852759312629	225
29.6423778567254	226
29.6905003148853	227
29.7460645172536	228
29.7470983283123	229
29.7490810188459	228
29.7796654552216	229
29.8034691363567	230
30.076929463073	231
30.077494064229	232
30.0784040348948	233
30.0793415864458	232
30.0858943376219	233
30.1214589111036	234
30.1631884768134	235
30.2681206215633	234
30.2903853605961	235
30.301285304827	236
30.3126401777839	237
30.3569173736026	238
30.387940946733	239
30.4311887694051	240
30.481593329226	241
30.4824602157454	240
30.4872845124331	241
30.5173163150315	242
30.5474568313797	243
30.5646980411251	244
30.5844100906392	245
30.6235569014092	246
30.6246927698952	245
30.6356468358421	246
30.6532647637063	247
30.6718359486543	248
30.8425731507008	247
30.884302827529	248
30.9105638461182	249
30.9369014305988	250
31.0080391699443	251
31.1285725918127	250
31.1572689751623	251
31.1731335523067	252
31.2193714848248	253
31.2961546501605	254
31.3636293804733	255
31.3650429070689	256
31.3718912674807	255
31.3876033871196	256
31.40346242662	257
31.4222658256762	258
31.4880007429741	259
31.5208643263899	260
31.554553668829	261
31.6117179460701	262
31.6132811502897	261
31.6165684763686	262
31.621924790495	263
31.6307760970079	264
31.6446605137893	265
31.6787453218707	266
31.7240279875108	267
31.8328988514253	266
31.834580582857	267
31.8522918907105	268
31.8727751200198	269
31.943075687915	270
