cell	t	lasR	LasR	lasI	LasI	AI1	LasRAI1
0	10.4718786419835	1	4	1	1	8	7
8	10.5174903587904	1	3	1	3	13	4
7	10.5637537853327	1	3	1	1	10	4
5	10.6580583096948	1	5	1	4	8	5
3	10.755138391396	1	3	1	1	9	7
6	10.855406233808	1	3	1	1	10	7
9	10.9558317305055	1	5	1	2	11	4
4	11.1074422092643	1	4	1	1	7	6
6	11.125476785237	1	3	1	1	11	7
7	11.1431758871768	1	3	1	1	11	4
8	11.1672300326172	1	3	1	3	14	4
5	11.1955412647221	1	5	1	4	9	5
9	11.2438615767751	1	5	1	2	12	4
1	11.3025502918754	1	5	1	1	4	5
2	11.3621450907085	1	5	1	1	15	4
4	11.4299214652274	1	4	1	1	8	6
3	11.5262630155776	1	2	1	1	8	8
0	11.7584199032281	1	4	1	1	9	7
8	11.7593486662372	1	3	1	3	15	4
9	11.7665519290022	1	5	1	2	11	4
2	11.7810906688101	1	5	1	1	16	4
4	11.8019700771547	1	4	1	1	9	6
5	11.8230595080531	1	6	1	4	10	4
3	11.886922183854	1	2	1	1	9	8
0	11.9290361659951	1	5	1	1	10	6
6	11.9878476778395	1	3	1	1	12	7
1	12.0494703756995	1	4	1	1	3	6
7	12.1371474894113	1	3	1	1	12	4
5	12.1374991720368	1	6	1	4	9	4
3	12.1385252240871	1	2	1	1	10	8
0	12.1398938615166	1	5	1	1	9	6
4	12.1531883681018	1	4	1	1	10	6
2	12.1639248894353	1	5	1	1	17	4
9	12.1846801599313	1	5	1	2	12	4
7	12.2292117213656	1	2	1	1	11	5
1	12.2777095546771	1	5	1	1	4	5
6	12.3278314469208	1	3	1	1	13	7
8	12.3979610053648	1	2	1	3	15	4
2	12.4030754047271	1	5	1	1	18	4
1	12.4085972851899	1	5	1	1	5	5
3	12.4250508530822	1	1	1	1	10	8
4	12.4470265324053	1	4	1	1	11	6
0	12.4746323714789	1	4	1	1	8	7
5	12.5195519777772	1	6	1	4	10	4
7	12.5739391485986	1	2	1	2	11	5
